concept,basis,amount_type,level_1,level_2,level_3,accident_period,development_period,amount
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-01,0,912.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-02,0,940.9
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-03,0,980.1
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-04,0,1010.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-05,0,1050.6
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-06,0,1092.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-07,0,1144.8
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-08,0,1188.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-09,0,1144.5
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-10,0,1091.8
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-11,0,1030.2
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-12,0,970.2
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-01,0,934.8
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-02,0,966.3042999999999
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-03,0,1007.9976659929966
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-04,0,1039.29
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-05,0,1080.5043851568637
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-06,0,1121.484
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-07,0,1173.4199999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-08,0,1215.3239999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-09,0,1169.1478357014744
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-10,0,1114.7278
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-11,0,1052.3862825160847
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-12,0,992.5146
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-01,0,958.1699999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-02,0,992.3945160999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-03,0,1036.6894139856431
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-04,0,1069.42941
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-05,0,1111.2599717715707
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-06,0,1151.7640679999997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-07,0,1202.7554999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-08,0,1243.2764519999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-09,0,1194.3264846880227
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-10,0,1138.1370837999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-11,0,1075.0503665579738
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-12,0,1015.3424357999999
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-01,0,982.1242499999997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-02,0,1019.1891680346997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-03,0,1066.1978468086681
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-04,0,1100.4428628899998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-05,0,1142.890988528912
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-06,0,1182.8616978359996
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-07,0,1232.8243874999996
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-08,0,1271.8718103959998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-09,0,1220.0473785006134
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-10,0,1162.0379625597998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-11,0,1098.2025420107748
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-12,0,1038.6953118233998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-01,0,1006.6773562499997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-02,0,1046.7072755716365
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-03,0,1096.5462106620714
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-04,0,1132.3557059138097
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-05,0,1175.4223537614243
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-06,0,1214.7989636775715
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-07,0,1263.6449971874995
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-08,0,1301.1248620351078
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-09,0,1246.3221948687199
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-10,0,1186.4407597735556
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-11,0,1121.853320361516
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-12,0,1062.5853039953379
