anio,km_mes,antiguedad_anios,tipo_servicio,carga_promedio_ton,num_destinos,dias_operacion,costo_mto_nominal_k,costo_mto_2019_k,idx_inpc
2019,10742,10,0,3.5,7,27,6.635,6.635,1.0
2019,9154,17,0,11.9,3,25,7.748,7.748,1.0
2019,11119,16,0,12.5,3,23,8.599,8.599,1.0
2019,13308,6,1,16.3,3,21,7.564,7.564,1.0
2019,8915,16,0,15.2,4,20,8.248,8.248,1.0
2019,8915,8,0,15.2,4,19,7.538,7.538,1.0
2019,13448,16,0,8.1,5,27,8.231,8.231,1.0
2019,11419,7,0,13.8,1,26,8.076,8.076,1.0
2019,8326,16,1,18.3,2,20,7.818,7.818,1.0
2019,10856,6,1,13.5,2,23,6.519,6.519,1.0
2019,8341,0,1,19.3,1,22,6.382,6.382,1.0
2019,8336,12,1,20.1,3,26,8.068,8.068,1.0
2019,10105,16,1,10.9,6,23,7.281,7.281,1.0
2019,4717,12,0,9.2,2,22,6.091,6.091,1.0
2019,5188,15,0,9.0,5,20,6.526,6.526,1.0
2019,8094,7,2,5.9,6,23,5.598,5.598,1.0
2019,6968,17,1,9.9,5,21,6.621,6.621,1.0
2019,10286,0,0,16.8,7,23,7.529,7.529,1.0
2019,7230,13,1,3.2,6,22,5.865,5.865,1.0
2019,5969,14,0,7.9,1,21,6.312,6.312,1.0
2019,13164,17,1,11.5,4,19,7.522,7.522,1.0
2019,8936,1,0,8.5,4,24,6.523,6.523,1.0
2019,9669,16,0,9.9,2,22,7.808,7.808,1.0
2019,5938,17,0,10.0,5,27,7.475,7.475,1.0
2019,8139,5,2,11.0,7,19,6.113,6.113,1.0
2019,9777,3,1,9.1,5,24,5.651,5.651,1.0
2019,6623,0,0,8.8,3,22,5.215,5.215,1.0
2019,10439,7,0,15.7,3,28,7.906,7.906,1.0
2019,7998,6,1,16.2,5,24,7.023,7.023,1.0
2019,8771,2,0,6.5,4,23,5.573,5.573,1.0
2019,7996,9,0,1.0,4,22,5.417,5.417,1.0
2019,14131,9,2,16.3,5,20,7.861,7.861,1.0
2019,9466,13,0,7.1,1,23,6.956,6.956,1.0
2019,6856,1,1,12.9,2,18,5.509,5.509,1.0
2019,11556,0,2,5.7,3,18,4.769,4.768,1.0
2019,6448,17,1,17.2,3,25,7.827,7.827,1.0
2019,10022,6,0,22.2,7,17,8.975,8.975,1.0
2019,4601,7,0,12.7,5,21,6.279,6.279,1.0
